customer_key,customerName,customerType,nationality
CUST00114,Christine Wood,Travel Agency,UK
CUST00115,Hà Trần,Corporate,Vietnam
CUST00116,Ông Nhiên Trần,Corporate,Vietnam
CUST00117,Hưng Trần,Corporate,Vietnam
CUST00118,Lan Nguyễn,Travel Agency,Vietnam
CUST00119,Chi Vũ,Corporate,Vietnam
CUST00120,Bà Ánh Mai,Individual,Vietnam
CUST00121,Melissa Chung,Corporate,Australia
CUST00122,Hải Bùi,Travel Agency,Vietnam
CUST00123,Heinz-Jürgen Schuchhardt B.A.,Travel Agency,Germany
CUST00124,Tú Nguyễn,Individual,Vietnam
CUST00125,Quý cô Hạnh Đặng,Travel Agency,Vietnam
CUST00126,Tùng Mai Bảo Hoàng,VIP,Vietnam
CUST00127,Kenneth Owens,Corporate,USA
CUST00128,Philip Fuller,VIP,Australia
CUST00129,Deborah Hughes,VIP,UK
CUST00130,Hạnh Hoàng,Individual,Vietnam
CUST00131,Anh Dương,VIP,Vietnam
CUST00132,Dũng Thị Vũ,Travel Agency,Vietnam
CUST00133,Chị Duyên Bùi,Individual,Vietnam
CUST00134,Cô An Dương,VIP,Vietnam
CUST00135,Vi Đặng,Individual,Vietnam
CUST00136,阿部 亮介,Corporate,Japan
CUST00137,Phúc Tấn Nguyễn,VIP,Vietnam
CUST00138,西村 充,Individual,Japan
CUST00139,Gerald Short,VIP,UK
CUST00140,Nam Đức Mai,Travel Agency,Vietnam
CUST00141,Hà Trần,Corporate,Vietnam
CUST00142,Daniel Marquez,Corporate,USA
CUST00143,Hà Văn Mai,Individual,Vietnam
CUST00144,Minh Hữu Mai,Travel Agency,Vietnam
CUST00145,藤原 さゆり,VIP,Japan
CUST00146,青木 涼平,VIP,Japan
CUST00147,Anh Trọng Vũ,VIP,Vietnam
CUST00148,後藤 裕美子,Individual,Japan
CUST00149,Hải Mai Bảo Mai,Travel Agency,Vietnam
CUST00150,Quý cô Phương Nguyễn,Individual,Vietnam
CUST00151,Ông Tùng Vũ,VIP,Vietnam
CUST00152,Lisa Howard,VIP,UK
CUST00153,Ánh Dương,Corporate,Vietnam
CUST00154,Stephanie Jackson,Travel Agency,Australia
CUST00155,Phương Hoàng Bùi,VIP,Vietnam
CUST00156,Phúc Trần,Travel Agency,Vietnam
CUST00157,Cô Mai Đặng,VIP,Vietnam
CUST00158,Quý cô Dương Nguyễn,Travel Agency,Vietnam
CUST00159,Tùng Hoàng,Individual,Vietnam
CUST00160,Hương Đặng,VIP,Vietnam
CUST00161,Nhật Nguyễn,Corporate,Vietnam
CUST00162,Ánh Mai,Travel Agency,Vietnam
CUST00163,Hồng Vũ,Corporate,Vietnam
CUST00164,Chị Khoa Trần,Corporate,Vietnam
CUST00165,Yves Bonneau,Corporate,France
CUST00166,Cô Lan Đặng,Individual,Vietnam
CUST00167,Khoa Đức Vũ,Individual,Vietnam
CUST00168,Ánh Vũ,Individual,Vietnam
CUST00169,Bà Lan Trần,Individual,Vietnam
CUST00170,Dũng Lê,Individual,Vietnam
CUST00171,Nhiên Mai Đặng,VIP,Vietnam
CUST00172,Anh Bảo Nguyễn,Corporate,Vietnam
CUST00173,Quý cô Hải Nguyễn,Individual,Vietnam
CUST00174,村上 陽一,VIP,Japan
CUST00175,Hạnh Đặng,Corporate,Vietnam
CUST00176,Mai Trần,Corporate,Vietnam
CUST00177,Patricia Diallo,Individual,France
CUST00178,Thành Hoàng Lê,Individual,Vietnam
CUST00179,김지후,Travel Agency,Korea
CUST00180,Cô Duyên Lê,Individual,Vietnam
CUST00181,Quang Hoàng,Individual,Vietnam
CUST00182,Bà Mai Đặng,Travel Agency,Vietnam
CUST00183,Bảo Trần,Individual,Vietnam
CUST00184,Huy Mai,Individual,Vietnam
CUST00185,Yến Lê,VIP,Vietnam
CUST00186,Vũ Đặng,Travel Agency,Vietnam
CUST00187,Hương Phạm,Corporate,Vietnam
CUST00188,한재현,Travel Agency,Korea
CUST00189,Trọng Đức Vũ,Travel Agency,Vietnam
CUST00190,Châu Dương,Individual,Vietnam
CUST00191,Dương Hoàng,Travel Agency,Vietnam
CUST00192,Quý cô Kim Trần,VIP,Vietnam
CUST00193,Bà Thành Nguyễn,Individual,Vietnam
CUST00194,Thành Mai Bùi,Travel Agency,Vietnam
CUST00195,Eric Matthäi,Individual,Germany
CUST00196,Odette de la Chartier,Individual,France
CUST00197,Cô Mai Mai,Individual,Vietnam
CUST00198,문정숙,VIP,Korea
CUST00199,Quý ông Vũ Phạm,VIP,Vietnam
CUST00200,Dương Mai,Corporate,Vietnam
CUST00201,Lâm Hoàng Trần,Individual,Vietnam
CUST00202,Anh Khoa Phạm,Corporate,Vietnam
CUST00203,Bảo Vũ,Corporate,Vietnam
CUST00204,Kristen Aguilar,Corporate,USA
CUST00205,Nhật Trí Dương,Travel Agency,Vietnam
CUST00206,Nicole Parker,Individual,USA
CUST00207,Thành Bảo Hoàng,Travel Agency,Vietnam
CUST00208,Cô Duyên Hoàng,Travel Agency,Vietnam
CUST00209,김병철,Individual,Korea
CUST00210,Honoré Pottier Le Le Goff,Corporate,France
CUST00211,Chị Bảo Vũ,Travel Agency,Vietnam
CUST00212,Nhiên Bảo Đặng,VIP,Vietnam
CUST00213,Hoàng Hải Vũ,Corporate,Vietnam
CUST00214,Bác Bảo Bùi,Individual,Vietnam
CUST00215,Quang Dương,Travel Agency,Vietnam
CUST00216,Ngọc Vũ,Individual,Vietnam
CUST00217,Thành Đức Lê,VIP,Vietnam
CUST00218,Kim Văn Lê,Corporate,Vietnam
CUST00219,Hồng Phạm,Individual,Vietnam
CUST00220,William Edwards,Travel Agency,USA
CUST00221,Trung Thị Nguyễn,Individual,Vietnam
CUST00222,Charles Kim,Individual,USA
CUST00223,김정자,Travel Agency,Korea
CUST00224,Cô Thảo Lê,Individual,Vietnam
CUST00225,Hạnh Dương,Individual,Vietnam
CUST00226,Luc Denis du Coste,Individual,France
CUST00227,Phương Lê,Corporate,Vietnam
CUST00228,Khoa Hoàng,Individual,Vietnam
CUST00229,Kim Đức Vũ,Travel Agency,Vietnam
CUST00230,中村 学,VIP,Japan
CUST00231,Justin Clay,VIP,Australia
CUST00232,马玉兰,Corporate,China
CUST00233,David Reed,Travel Agency,USA
CUST00234,Kim Hữu Vũ,VIP,Vietnam
CUST00235,Nam Phạm,Corporate,Vietnam
CUST00236,Hạnh Vũ,VIP,Vietnam
CUST00237,Kristen Howard,Corporate,Australia
CUST00238,Christopher Chapman,VIP,Australia
CUST00239,Benjamin de la Leblanc,Travel Agency,France
CUST00240,Bảo Trí Bùi,Travel Agency,Vietnam
CUST00241,Gerhardt Briemer,Individual,Germany
CUST00242,Quý cô Lan Hoàng,Individual,Vietnam
CUST00243,Quý cô Nhật Trần,Individual,Vietnam
CUST00244,Trọng Nguyễn,Travel Agency,Vietnam
CUST00245,Duyên Lê,VIP,Vietnam
CUST00246,Huy Phú Dương,Corporate,Vietnam
CUST00247,Minh Phạm,Individual,Vietnam
CUST00248,Trọng Phú Vũ,Corporate,Vietnam
CUST00249,Chị Dương Lê,Individual,Vietnam
CUST00250,杜畅,Individual,China
CUST00251,Bà Hạnh Phạm,VIP,Vietnam
CUST00252,Quý ông Nhiên Dương,Corporate,Vietnam
CUST00253,이은서,Travel Agency,Korea
CUST00254,Nhiên Đức Phạm,Individual,Vietnam
CUST00255,Thành Dương,Individual,Vietnam
CUST00256,Andrée-Odette Valentin,VIP,France
CUST00257,湛丹丹,Travel Agency,China
CUST00258,Miss Sian Wood,VIP,UK
CUST00259,Nhật Xuân Đặng,Travel Agency,Vietnam
CUST00260,Thành Bảo Nguyễn,Corporate,Vietnam
CUST00261,Hoàng Bảo Trần,VIP,Vietnam
CUST00262,이서현,Individual,Korea
CUST00263,Cô Mai Lê,Travel Agency,Vietnam
CUST00264,Kim Phạm,Corporate,Vietnam
CUST00265,Alexandrie Marchal,Travel Agency,France
CUST00266,Thảo Bùi,VIP,Vietnam
CUST00267,Bác Minh Bùi,VIP,Vietnam
CUST00268,Trung Dương,VIP,Vietnam
CUST00269,Quý cô Chi Hoàng,Travel Agency,Vietnam
CUST00270,Tú Quang Nguyễn,Corporate,Vietnam
CUST00271,Quang Đặng,VIP,Vietnam
CUST00272,Quý cô Nhật Phạm,Corporate,Vietnam
CUST00273,Trung Phạm,Corporate,Vietnam
CUST00274,Quý ông Dũng Hoàng,Corporate,Vietnam
CUST00275,Thành Trần,Travel Agency,Vietnam
CUST00276,An Đức Lê,Travel Agency,Vietnam
CUST00277,Hạnh Đức Mai,Individual,Vietnam
CUST00278,Khoa Bùi,Corporate,Vietnam
CUST00279,Châu Mai,Individual,Vietnam
CUST00280,Antoine Delmas,VIP,France
CUST00281,Chi Vũ,Individual,Vietnam
CUST00282,徐桂珍,Corporate,China
CUST00283,李琴,Corporate,China
CUST00284,Hạnh Phú Phạm,Corporate,Vietnam
CUST00285,Cô Vi Hoàng,VIP,Vietnam
CUST00286,後藤 里佳,Individual,Japan
CUST00287,Bác Hoàng Trần,Travel Agency,Vietnam
CUST00288,Khoa Bùi,Individual,Vietnam
CUST00289,Trọng Phạm,Individual,Vietnam
CUST00290,Sharon Jones,Corporate,UK
CUST00291,Emmerich Gunpf,VIP,Germany
CUST00292,Émile Gallet du Julien,Corporate,France
CUST00293,Châu Mai,Individual,Vietnam
CUST00294,안영호,Travel Agency,Korea
CUST00295,谭秀华,Individual,China
CUST00296,袁辉,Travel Agency,China
CUST00297,Cô Nhật Bùi,VIP,Vietnam
CUST00298,Katie Wright-Bradley,Individual,UK
CUST00299,Khoa Mai Đặng,VIP,Vietnam
CUST00300,Cô An Hoàng,Individual,Vietnam
CUST00301,Nhật Quang Mai,Corporate,Vietnam
CUST00302,Chị Hà Bùi,VIP,Vietnam
CUST00303,Bác Huy Phạm,VIP,Vietnam
CUST00304,Quý cô Linh Nguyễn,Travel Agency,Vietnam
CUST00305,姚明,Individual,China
CUST00306,那佳,Travel Agency,China
CUST00307,Cô Duyên Dương,VIP,Vietnam
CUST00308,Cô An Nguyễn,Individual,Vietnam
CUST00309,Chị Hải Dương,Corporate,Vietnam
CUST00310,An Đức Đặng,Corporate,Vietnam
CUST00311,Linh Vũ,Individual,Vietnam
CUST00312,Vincent Edwards,Corporate,UK
CUST00313,Nam Hoàng,Individual,Vietnam
CUST00314,高橋 翔太,Corporate,Japan
CUST00315,Miss Ellie Cole,Travel Agency,UK
CUST00316,Nhật Văn Lê,Corporate,Vietnam
CUST00317,Hạnh Mai Bảo Trần,Corporate,Vietnam
CUST00318,Heather Grant,Individual,UK
CUST00319,Bà Kim Phạm,Travel Agency,Vietnam
CUST00320,Quý cô Nhật Hoàng,VIP,Vietnam
CUST00321,Phúc Bùi,Corporate,Vietnam
CUST00322,Debra Taylor,VIP,UK
CUST00323,Daniel de Roussel,Individual,France
CUST00324,Cô Hà Lê,VIP,Vietnam
CUST00325,Xuân Mai,VIP,Vietnam
CUST00326,Dr Dominic Jones,VIP,UK
CUST00327,Hải Mai Bảo Phạm,Corporate,Vietnam
CUST00328,Thành Vũ,Corporate,Vietnam
CUST00329,Bảo Hoàng Trần,Corporate,Vietnam
CUST00330,Nhật Nguyễn,Individual,Vietnam
CUST00331,Nhật Mai Mai,Corporate,Vietnam
CUST00332,Quý cô Ngọc Đặng,Individual,Vietnam
CUST00333,Bà Phương Vũ,VIP,Vietnam
CUST00334,Châu Hoàng,Corporate,Vietnam
CUST00335,Nam Mai,Corporate,Vietnam
CUST00336,김상훈,VIP,Korea
CUST00337,Cô Hạnh Phạm,Individual,Vietnam
CUST00338,Khoa Mai Bảo Nguyễn,Travel Agency,Vietnam
CUST00339,Ông Trọng Đặng,Individual,Vietnam
CUST00340,박우진,VIP,Korea
CUST00341,Hải Hải Bùi,VIP,Vietnam
CUST00342,Anh Minh Bùi,VIP,Vietnam
CUST00343,Bà Nhật Trần,VIP,Vietnam
CUST00344,Ing. Karin Hahn MBA.,Individual,Germany
CUST00345,Horst Harloff-Stoll,Travel Agency,Germany
CUST00346,Vũ Nguyễn,Individual,Vietnam
CUST00347,Dr Rhys Lee,Corporate,UK
CUST00348,山田 太一,Individual,Japan
CUST00349,Annette Hawkins,Corporate,UK
CUST00350,An Thị Dương,Travel Agency,Vietnam
CUST00351,Shelby Hansen,Corporate,USA
CUST00352,Bà Lan Đặng,Individual,Vietnam
CUST00353,Claire Bourdon,Individual,France
CUST00354,Chị Phương Trần,Corporate,Vietnam
CUST00355,Quý cô Phương Vũ,VIP,Vietnam
CUST00356,Quý cô Chi Đặng,VIP,Vietnam
CUST00357,Guy Booth,VIP,UK
CUST00358,Cô Thành Đặng,Corporate,Vietnam
CUST00359,Quý cô Vân Lê,Individual,Vietnam
CUST00360,Cô Lan Lê,VIP,Vietnam
CUST00361,Huy Mai,Individual,Vietnam
CUST00362,Anh Khoa Dương,Individual,Vietnam
CUST00363,Tú Dương,Individual,Vietnam
CUST00364,Ông Châu Đặng,Corporate,Vietnam
CUST00365,王飞,Corporate,China
CUST00366,Trung Phú Hoàng,Corporate,Vietnam
CUST00367,Phương Lê,VIP,Vietnam
CUST00368,Quý ông Nam Phạm,VIP,Vietnam
CUST00369,卢秀芳,Travel Agency,China
CUST00370,Bà Hải Vũ,Individual,Vietnam
CUST00371,Trọng Thị Trần,Travel Agency,Vietnam
CUST00372,Hải Mai Bảo Trần,Travel Agency,Vietnam
CUST00373,Trọng Phạm,Corporate,Vietnam
CUST00374,Châu Mai Bảo Vũ,VIP,Vietnam
CUST00375,Cô Lâm Dương,Individual,Vietnam
CUST00376,Hương Hoàng,Corporate,Vietnam
CUST00377,Bảo Hải Trần,Individual,Vietnam
CUST00378,Ông Dũng Hoàng,Individual,Vietnam
CUST00379,강영환,VIP,Korea
CUST00380,Marcel Imbert,Individual,France
CUST00381,Dũng Bảo Bùi,Individual,Vietnam
CUST00382,Huy Mai Vũ,Corporate,Vietnam
CUST00383,Phương Hữu Nguyễn,Individual,Vietnam
CUST00384,Anh Quang Mai,Corporate,Vietnam
CUST00385,佐藤 篤司,VIP,Japan
CUST00386,Denise Mahmood,Individual,UK
CUST00387,Ms Alexandra Giles,Corporate,UK
CUST00388,Quý cô Yến Vũ,Corporate,Vietnam
CUST00389,Agathe Gonzalez Le Gimenez,Corporate,France
CUST00390,Nhật Trần,Travel Agency,Vietnam
CUST00391,Lâm Phạm,Travel Agency,Vietnam
CUST00392,Jeffrey Lee,VIP,USA
CUST00393,Bà Hồng Nguyễn,Individual,Vietnam
CUST00394,刘颖,Corporate,China
CUST00395,John Watts,Travel Agency,USA
CUST00396,Matthieu Guillou Le Weber,Individual,France
CUST00397,Thành Phạm,Travel Agency,Vietnam
CUST00398,Bà Hương Mai,VIP,Vietnam
CUST00399,Khoa Văn Mai,Individual,Vietnam
CUST00400,Chị Thành Hoàng,VIP,Vietnam
CUST00401,Thành Hoàng,Corporate,Vietnam
CUST00402,Chị Kim Nguyễn,Individual,Vietnam
CUST00403,Patricia Bruce,VIP,USA
CUST00404,Hưng Mai Bảo Vũ,Individual,Vietnam
CUST00405,Quang Hữu Hoàng,Individual,Vietnam
CUST00406,Franco Weitzel-Ditschlerin,VIP,Germany
CUST00407,Cô Linh Vũ,Corporate,Vietnam
CUST00408,Duyên Đặng,Corporate,Vietnam
CUST00409,Bà Chi Hoàng,Individual,Vietnam
CUST00410,Bảo Quang Bùi,Individual,Vietnam
CUST00411,Bác Dũng Lê,Corporate,Vietnam
CUST00412,Dương Mai,Corporate,Vietnam
CUST00413,廖秀荣,VIP,China
CUST00414,Bảo Tấn Bùi,Travel Agency,Vietnam
CUST00415,차정호,Individual,Korea
CUST00416,Bà Chi Trần,Individual,Vietnam
CUST00417,Tùng Đặng,Corporate,Vietnam
CUST00418,Nhật Đức Bùi,VIP,Vietnam
CUST00419,Ông Hưng Trần,VIP,Vietnam
CUST00420,Trọng Phạm,Individual,Vietnam
CUST00421,류서윤,VIP,Korea
CUST00422,Quý ông Dũng Vũ,Corporate,Vietnam
CUST00423,Rebecca Houston DDS,Corporate,USA
CUST00424,박건우,Travel Agency,Korea
CUST00425,Yến Phạm,VIP,Vietnam
CUST00426,Ông Hoàng Hoàng,Individual,Vietnam
CUST00427,Ronald Yu,Travel Agency,Australia
CUST00428,An Đức Bùi,Corporate,Vietnam
CUST00429,Kim Trí Phạm,VIP,Vietnam
CUST00430,Khoa Trần,VIP,Vietnam
CUST00431,Khoa Trần,VIP,Vietnam
CUST00432,Quý cô Lan Dương,Travel Agency,Vietnam
CUST00433,Bác Nam Đặng,Travel Agency,Vietnam
CUST00434,Khoa Dương,VIP,Vietnam
CUST00435,Iain King,VIP,UK
CUST00436,阿部 さゆり,Corporate,Japan
CUST00437,Quang Đức Đặng,VIP,Vietnam
CUST00438,Anh Bảo Hoàng,Corporate,Vietnam
CUST00439,David Cox,Travel Agency,Australia
CUST00440,Ông Dũng Hoàng,Travel Agency,Vietnam
CUST00441,Dr Kimberley Parry,Travel Agency,UK
CUST00442,Ông Nhiên Dương,Travel Agency,Vietnam
CUST00443,April Patton,Individual,USA
CUST00444,Hạnh Lê,Travel Agency,Vietnam
CUST00445,Tùng Hải Phạm,Travel Agency,Vietnam
CUST00446,Châu Xuân Mai,Travel Agency,Vietnam
CUST00447,Nhật Dương,Individual,Vietnam
CUST00448,Cô Ánh Bùi,Individual,Vietnam
CUST00449,박민석,Corporate,Korea
CUST00450,Anh Quang Nguyễn,VIP,Vietnam
CUST00451,Nhật Bảo Mai,Corporate,Vietnam
CUST00452,Chị Vân Đặng,Individual,Vietnam
CUST00453,Kim Mai,Corporate,Vietnam
CUST00454,Cô Hà Nguyễn,Individual,Vietnam
CUST00455,Mai Lê,Individual,Vietnam
CUST00456,Andrew Freeman,VIP,Australia
CUST00457,Leslie Evans,VIP,UK
CUST00458,池田 淳,Individual,Japan
CUST00459,Vũ Mai,Corporate,Vietnam
CUST00460,Hà Thế Dương,Corporate,Vietnam
CUST00461,Bà Hồng Phạm,Individual,Vietnam
CUST00462,Cô Lâm Dương,Individual,Vietnam
CUST00463,Amy Adams,Corporate,Australia
CUST00464,Bảo Mai,Travel Agency,Vietnam
CUST00465,Greta Pruschke-Warmer,VIP,Germany
CUST00466,Cô Vân Hoàng,Corporate,Vietnam
CUST00467,Huy Vũ,Travel Agency,Vietnam
CUST00468,Chị Xuân Trần,Corporate,Vietnam
CUST00469,Duyên Phạm,VIP,Vietnam
CUST00470,Nathalie-Jeanne Lebreton,Travel Agency,France
CUST00471,Thành Đặng,Travel Agency,Vietnam
CUST00472,Quý ông Minh Hoàng,Corporate,Vietnam
CUST00473,Quý cô Vi Hoàng,Individual,Vietnam
CUST00474,Phương Đặng,Travel Agency,Vietnam
CUST00475,Hanspeter Scholtz-Löffler,VIP,Germany
CUST00476,渡辺 裕樹,Travel Agency,Japan
CUST00477,Quý cô Khoa Đặng,VIP,Vietnam
CUST00478,吉田 春香,VIP,Japan
CUST00479,Hương Vũ,VIP,Vietnam
CUST00480,Khoa Lê,Travel Agency,Vietnam
CUST00481,Hạnh Vũ,VIP,Vietnam
CUST00482,Bảo Tấn Đặng,VIP,Vietnam
CUST00483,Cô Xuân Phạm,VIP,Vietnam
CUST00484,Hà Đức Hoàng,Individual,Vietnam
CUST00485,Khoa Mai,Travel Agency,Vietnam
CUST00486,René Joly,VIP,France
CUST00487,Bác Bảo Trần,Travel Agency,Vietnam
CUST00488,Kim Đặng,Travel Agency,Vietnam
CUST00489,Vũ Dương,Individual,Vietnam
CUST00490,Hương Nguyễn,Corporate,Vietnam
CUST00491,최지후,Individual,Korea
CUST00492,遠藤 治,Individual,Japan
CUST00493,Trọng Bùi,Individual,Vietnam
CUST00494,Hà Mai Bảo Phạm,Corporate,Vietnam
CUST00495,Vũ Mai,VIP,Vietnam
CUST00496,Stephen Reeves,Individual,USA
CUST00497,홍도현,VIP,Korea
CUST00498,Bà Nhật Nguyễn,Corporate,Vietnam
CUST00499,Chị Yến Trần,VIP,Vietnam
CUST00500,Hải Vũ,Travel Agency,Vietnam
CUST00501,Bà Chi Lê,Corporate,Vietnam
CUST00502,Châu Vũ,Individual,Vietnam
CUST00503,Thành Hoàng,Corporate,Vietnam
CUST00504,Nhật Dương,VIP,Vietnam
CUST00505,Quý cô Khoa Phạm,Individual,Vietnam
CUST00506,Khoa Văn Lê,VIP,Vietnam
CUST00507,Michael Johnson,Travel Agency,USA
CUST00508,Alice Taylor,Individual,UK
CUST00509,Bà Lâm Đặng,VIP,Vietnam
CUST00510,Dũng Đức Dương,VIP,Vietnam
CUST00511,An Đức Đặng,Travel Agency,Vietnam
CUST00512,Bác Châu Phạm,VIP,Vietnam
CUST00513,이도윤,Corporate,Korea
CUST00514,Jordan Hughes,Individual,UK
CUST00515,Dr. Juan Nette MBA.,Corporate,Germany
CUST00516,Noah Burton,VIP,Australia
CUST00517,Hà Văn Hoàng,Individual,Vietnam
CUST00518,Shari Blanchard,Individual,Australia
CUST00519,Dũng Bùi,Travel Agency,Vietnam
CUST00520,江浩,VIP,China
CUST00521,Quý ông Bảo Dương,Travel Agency,Vietnam
CUST00522,Alexandre David-Lombard,Individual,France
CUST00523,Bảo Mai Phạm,Travel Agency,Vietnam
CUST00524,Chi Bùi,Individual,Vietnam
CUST00525,Ashley Beck,Travel Agency,USA
CUST00526,Ông Hưng Vũ,Corporate,Vietnam
CUST00527,Ánh Vũ,Travel Agency,Vietnam
CUST00528,Hoàng Mai,Individual,Vietnam
CUST00529,Cô Xuân Mai,Travel Agency,Vietnam
CUST00530,Francesca Price,VIP,UK
CUST00531,Trọng Thế Hoàng,VIP,Vietnam
CUST00532,Quang Phạm,Travel Agency,Vietnam
CUST00533,Nam Trí Nguyễn,Individual,Vietnam
CUST00534,Leonardo Schleich-Stolze,Individual,Germany
CUST00535,Cô Xuân Đặng,VIP,Vietnam
CUST00536,Frau Lucia Steckel,VIP,Germany
CUST00537,Quang Vũ,Corporate,Vietnam
